date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:45	118/118	---M-Z	200	added ('OK')	text/plain	date:Fri,%2023%20Feb%202024%2010:46:44%20GMT	https://wpdemo.wensolutions.com/robots.txt		(from )
10:46:46	174710/174710	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Feb%202024%2010:46:44%20GMT	https://wpdemo.wensolutions.com/travel-joy-pro/	C:/Users/WireShark/OneDrive/Desktop/C%20Play%20Ground/WP%20Travell%20pro/wpdemo.wensolutions.com/travel-joy-pro/index.html	(from )
10:46:46	110147/110147	---M-Z	200	added ('OK')	text/css	etag:%221ae43-65b97bcb-8722845308aa3ade;gz%22	https://wpdemo.wensolutions.com/travel-joy-pro/wp-includes/css/dist/block-library/style.min.css?ver=2.2	C:/Users/WireShark/OneDrive/Desktop/C%20Play%20Ground/WP%20Travell%20pro/wpdemo.wensolutions.com/travel-joy-pro/wp-includes/css/dist/block-library/style.mindc8c.css	(from https://wpdemo.wensolutions.com/travel-joy-pro/)
10:46:47	14603/14603	---M-Z	200	added ('OK')	application/rss+xml	etag:%2290176dfd32bed19a1b2072f45dd4b39c%22	https://wpdemo.wensolutions.com/travel-joy-pro/feed/	C:/Users/WireShark/OneDrive/Desktop/C%20Play%20Ground/WP%20Travell%20pro/wpdemo.wensolutions.com/travel-joy-pro/feed/index.html	(from https://wpdemo.wensolutions.com/travel-joy-pro/)
10:46:47	7977/7977	---M-Z	200	added ('OK')	application/rss+xml	etag:%2290176dfd32bed19a1b2072f45dd4b39c%22	https://wpdemo.wensolutions.com/travel-joy-pro/comments/feed/	C:/Users/WireShark/OneDrive/Desktop/C%20Play%20Ground/WP%20Travell%20pro/wpdemo.wensolutions.com/travel-joy-pro/comments/feed/index.html	(from https://wpdemo.wensolutions.com/travel-joy-pro/)
10:46:48	50519/50519	---M-Z	200	added ('OK')	text/css	etag:%22c557-65c35bb2-91516d6b365145ac;gz%22	https://wpdemo.wensolutions.com/travel-joy-pro/wp-content/plugins/wp-travel/app/assets/css/lib/font-awesome/css/fontawesome-all.min.css?ver=2.2	C:/Users/WireShark/OneDrive/Desktop/C%20Play%20Ground/WP%20Travell%20pro/wpdemo.wensolutions.com/travel-joy-pro/wp-content/plugins/wp-travel/app/assets/css/lib/font-awesome/css/fontawesome-all.mindc8c.css	(from https://wpdemo.wensolutions.com/travel-joy-pro/)
10:46:49	465480/465480	---M-Z	200	added ('OK')	text/css	etag:%2271a48-65c35bb2-a1057935572de173;gz%22	https://wpdemo.wensolutions.com/travel-joy-pro/wp-content/plugins/wp-travel/app/build/wp-travel-front-end.css?ver=2.2	C:/Users/WireShark/OneDrive/Desktop/C%20Play%20Ground/WP%20Travell%20pro/wpdemo.wensolutions.com/travel-joy-pro/wp-content/plugins/wp-travel/app/build/wp-travel-front-enddc8c.css	(from https://wpdemo.wensolutions.com/travel-joy-pro/)
10:46:49	57648/57648	---M-Z	200	added ('OK')	text/css	etag:%22e130-65c35bb2-8a6b2ce610dd1f9c;gz%22	https://wpdemo.wensolutions.com/travel-joy-pro/wp-content/plugins/wp-travel/app/assets/css/lib/font-awesome/css/wp-travel-fa-icons.min.css?ver=2.2	C:/Users/WireShark/OneDrive/Desktop/C%20Play%20Ground/WP%20Travell%20pro/wpdemo.wensolutions.com/travel-joy-pro/wp-content/plugins/wp-travel/app/assets/css/lib/font-awesome/css/wp-travel-fa-icons.mindc8c.css	(from https://wpdemo.wensolutions.com/travel-joy-pro/)
10:46:49	87820/87820	---M-Z	200	added ('OK')	text/css	etag:%221570c-65c35bb2-65183875912bd293;gz%22	https://wpdemo.wensolutions.com/travel-joy-pro/wp-content/plugins/wp-travel/app/build/frontend-booking-widget.css?ver=2.2	C:/Users/WireShark/OneDrive/Desktop/C%20Play%20Ground/WP%20Travell%20pro/wpdemo.wensolutions.com/travel-joy-pro/wp-content/plugins/wp-travel/app/build/frontend-booking-widgetdc8c.css	(from https://wpdemo.wensolutions.com/travel-joy-pro/)
10:46:49	59016/59016	---M-Z	200	added ('OK')	text/css	etag:%22e688-64772350-4459542b0df58baa;gz%22	https://wpdemo.wensolutions.com/travel-joy-pro/wp-includes/css/dashicons.min.css?ver=2.2	C:/Users/WireShark/OneDrive/Desktop/C%20Play%20Ground/WP%20Travell%20pro/wpdemo.wensolutions.com/travel-joy-pro/wp-includes/css/dashicons.mindc8c.css	(from https://wpdemo.wensolutions.com/travel-joy-pro/)
